latitude,longitude,uranium_present,rock_type,rock_code,rock_favorability,is_intrusive,is_metamorphic,is_sedimentary,is_volcanic,clay_gridcode,clay_percent,soil_depth_code,soil_depth_class,dist_to_faults_m,inv_dist_faults,dist_to_dykes_m,inv_dist_dykes,dist_to_deposits_m,inv_dist_deposits,dist_to_rivers_m,inv_dist_rivers,structural_corridor
-29.84183474441845,11.015811120014142,0,No Data,ND,0.2,0,0,0,0,,,,,502525.8635300674,1.989943369346199e-06,560789.8892806869,1.7831958741032262e-06,697154.9838524703,1.43439922077986e-06,502683.4943707198,1.989319366716969e-06,3.548458805917215e-12
-29.84183474441845,11.115811120014142,0,No Data,ND,0.2,0,0,0,0,,,,,493608.4108414447,2.025893303564296e-06,552008.8126859567,1.8115619994764637e-06,692076.9011661534,1.444924044410314e-06,494043.22596215457,2.0241102869940297e-06,3.670031323730914e-12
-29.84183474441845,11.215811120014141,0,No Data,ND,0.2,0,0,0,0,,,,,484724.27012783475,2.0630242771049955e-06,543262.6020860402,1.8407270359364577e-06,687105.2930342584,1.4553788986329966e-06,485446.75931691576,2.0599538895948807e-06,3.7974645626604315e-12
-29.84183474441845,11.315811120014141,0,No Data,ND,0.2,0,0,0,0,,,,,475875.2395319215,2.1013866987425427e-06,534552.9072172559,1.8707187179787563e-06,682242.4403640581,1.4657524584866377e-06,476896.39595629234,2.0968871050234254e-06,3.931103431049261e-12
-29.84183474441845,11.41581112001414,0,No Data,ND,0.2,0,0,0,0,,,,,467063.24756014225,2.141033070340571e-06,525881.4812843198,1.901565531443036e-06,677490.6391582008,1.4760329754659753e-06,468394.5940313846,2.1349474946875686e-06,4.071314688239283e-12
-29.84183474441845,11.51581112001414,0,No Data,ND,0.2,0,0,0,0,,,,,458290.3641468195,2.1820179873161154e-06,517250.1884016063,1.9332966698252916e-06,672852.1973089812,1.4862082903067331e-06,459943.9803470796,2.17417309184544e-06,4.218488108377131e-12
-29.84183474441845,11.61581112001414,0,No Data,ND,0.2,0,0,0,0,,,,,449558.81275786454,2.2243981148257254e-06,508661.0116073656,1.9659419755763017e-06,666164.5830277659,1.5011282862361863e-06,451547.3633320169,2.214602202565652e-06,4.373037624328688e-12
-29.84183474441845,11.71581112001414,0,No Data,ND,0.2,0,0,0,0,,,,,440870.9836331502,2.268232133416989e-06,500116.0614921888,1.9995318636327283e-06,656585.8662951859,1.5230277231138274e-06,443207.74701438734,2.2562731596259273e-06,4.535402424882911e-12
-29.84183474441845,11.81581112001414,0,No Data,ND,0.2,0,0,0,0,,,,,432229.4482743951,2.313580646602585e-06,491617.58548455284,2.034097223998097e-06,647011.860491203,1.5455643327411052e-06,434928.3460619794,2.299224021221818e-06,4.70604797075004e-12
-29.84183474441845,11.915811120014139,0,No Data,ND,0.2,0,0,0,0,,,,,423636.9752930868,2.3605060412919e-06,483167.9778374669,2.069669299704895e-06,637442.7295066639,1.5687659219331077e-06,426712.60194163804,2.3434922051928657e-06,4.8854668854297806e-12
-29.84183474441845,12.015811120014138,0,No Data,ND,0.2,0,0,0,0,,,,,415096.54774026544,2.4090722902215732e-06,474769.79036087956,2.106279535941726e-06,627878.6483935113,1.5926619099035832e-06,418563.6670829532,2.3891170914381434e-06,5.074179665497967e-12
-29.84183474441845,12.115811120014138,0,No Data,ND,0.2,0,0,0,0,,,,,406611.382046542,2.459344683422693e-06,466425.7439444528,2.1439593955167607e-06,618319.8042138186,1.617283444427328e-06,410482.58269964514,2.4361510231986787e-06,5.2727351408382764e-12
-29.84183474441845,12.215811120014138,0,No Data,ND,0.2,0,0,0,0,,,,,398184.94870588696,2.5113894733102004e-06,458138.7409142229,2.182740135148479e-06,608766.3969668546,1.6426635279458746e-06,402476.8566012846,2.48460873958254e-06,5.481710598383574e-12
-29.84183474441845,12.315811120014137,0,No Data,ND,0.2,0,0,0,0,,,,,389820.99483989243,2.565273415140979e-06,449911.87826437165,2.222652536325919e-06,599218.6406026005,1.6688371545938613e-06,394551.0155407751,2.53452006481172e-06,5.7017114625325484e-12
-29.84183474441845,12.415811120014137,0,No Data,ND,0.2,0,0,0,0,,,,,381523.56877930934,2.621063181329337e-06,441748.461801361,2.263726583666251e-06,589676.7641311721,1.6958414592305245e-06,386709.91180242284,2.5859109983193776e-06,5.933370401044056e-12
-29.84183474441845,12.515811120014137,0,No Data,ND,0.2,0,0,0,0,,,,,373297.0467954945,2.6788246244101952e-06,433256.29803305917,2.3080973004722386e-06,580141.0128387952,1.7237158796804313e-06,378958.74668303865,2.63880269277359e-06,6.18298788403973e-12
-29.84183474441845,12.615811120014136,0,No Data,ND,0.2,0,0,0,0,,,,,365146.1621042483,2.7386218592998494e-06,424229.7077045305,2.3572079574599842e-06,570611.6496223297,1.7525023335214668e-06,371303.0950840497,2.693210264146525e-06,6.455501239215462e-12
-29.84183474441845,12.715811120014136,0,No Data,ND,0.2,0,0,0,0,,,,,357076.0362464145,2.8005161309502757e-06,415235.5341806684,2.4082659344346187e-06,561088.9564558943,1.7822454109078447e-06,363748.9310765578,2.7491414143788026e-06,6.744387597002189e-12
-29.84183474441845,12.815811120014136,0,No Data,ND,0.2,0,0,0,0,,,,,349092.2129207689,2.8645644286042384e-06,406275.8782026155,2.461375612670941e-06,551573.2360049296,1.8129925850834386e-06,356302.65423520445,2.806594847157746e-06,7.0507690254911414e-12
-29.84183474441845,12.915811120014135,0,No Data,ND,0.2,0,0,0,0,,,,,341200.6943018799,2.93081780278396e-06,397353.0233731934,2.5166474759985097e-06,542064.8134050551,1.8447944424282603e-06,348968.6026958019,2.865579099941561e-06,7.375835225987751e-12
-29.84183474441845,13.015811120014135,0,No Data,ND,0.2,0,0,0,0,,,,,333407.97981475387,2.9993193361366942e-06,388469.4551422675,2.5741983380274705e-06,532564.0382254474,1.8777049340904656e-06,341751.4338675399,2.9260947425690922e-06,7.720842850296734e-12
-29.84183474441845,13.115811120014135,0,No Data,ND,0.2,0,0,0,0,,,,,325721.10725411394,3.070101714710584e-06,379627.88203003834,2.6341515288630606e-06,523071.28663915885,1.9117816514906465e-06,334663.8395664276,2.988064121990055e-06,8.087113125569988e-12
-29.84183474441845,13.215811120014134,0,No Data,ND,0.2,0,0,0,0,,,,,318147.69602326816,3.1431843427290484e-06,370831.2593690774,2.6966370231688292e-06,513586.96382591303,1.9470861282468885e-06,327714.17647150275,3.0514302412447396e-06,8.476027269247734e-12
-29.84183474441845,13.315811120014134,0,No Data,ND,0.2,0,0,0,0,,,,,310695.9921188493,3.2185699423104655e-06,362082.8158795215,2.76179148623626e-06,504111.5066365367,1.9836841713609703e-06,320903.8613277624,3.1161883801399647e-06,8.889019064528975e-12
-29.84183474441845,13.415811120014133,0,No Data,ND,0.2,0,0,0,0,,,,,303374.9142954859,3.296240581004092e-06,353386.0834279491,2.8297582081940654e-06,494645.3865523653,2.0216462248312326e-06,314243.49908889376,3.182235497834822e-06,9.327563840278705e-12
-29.84183474441845,13.515811120014133,0,No Data,ND,0.2,0,0,0,0,,,,,296194.100600393,3.3761530760400198e-06,344744.93035856937,2.900686888340937e-06,485189.11297782353,2.0610477692188807e-06,307748.95863763586,3.249391175962635e-06,9.793162960701208e-12
-29.84183474441845,13.615811120014133,0,No Data,ND,0.2,0,0,0,0,,,,,289163.9541635674,3.4582337368391667e-06,336163.5988244806,2.9747332214541822e-06,475743.2369100372,2.1019697610947604e-06,301430.9142636617,3.3174987540479958e-06,1.0287322784529108e-11
-29.84183474441845,13.715811120014132,0,No Data,ND,0.2,0,0,0,0,,,,,282295.6867571857,3.5423724291179472e-06,327646.7465853097,3.05205822540162e-06,466308.3550359357,2.144499116735361e-06,295300.6524322619,3.386367776012991e-06,1.0811526909725349e-11
-29.84183474441845,13.815811120014132,0,No Data,ND,0.2,0,0,0,0,,,,,275601.35819265887,3.6284159778522415e-06,319199.49377305794,3.1328272340047516e-06,456885.1143150136,2.188729244921899e-06,289370.0674541191,3.455770505316859e-06,1.1367200391713484e-11
-29.84183474441845,13.915811120014132,0,No Data,ND,0.2,0,0,0,0,,,,,269093.90910478326,3.716160975793892e-06,310827.4751567916,3.217208460375352e-06,447474.2171149522,2.234760634225491e-06,281275.8577733884,3.555216052668127e-06,1.1955664531440833e-11
-29.84183474441845,14.015811120014131,0,No Data,ND,0.2,0,0,0,0,,,,,262787.18408597726,3.805346132582684e-06,302536.8984535198,3.3053710133893666e-06,438076.4269778985,2.2827015007336844e-06,272777.5935634733,3.6659768163490745e-06,1.2578080802552134e-11
-29.84183474441845,14.115811120014131,0,No Data,ND,0.2,0,0,0,0,,,,,256695.94149760235,3.895644389706686e-06,294334.60922966077,3.397482223157483e-06,428692.5751076869,2.332668502785007e-06,264363.603231982,3.7826546662243294e-06,1.3235382561771647e-11
-29.84183474441845,14.21581112001413,0,No Data,ND,0.2,0,0,0,0,,,,,250835.84563324467,3.986655140218622e-06,286228.16290403623,3.49370410007896e-06,419323.56768296205,2.384787529921376e-06,256042.15748694152,3.905591580009323e-06,1.3928193408982663e-11
-29.84183474441845,14.31581112001413,0,No Data,ND,0.2,0,0,0,0,,,,,245223.43629566938,4.077897028150533e-06,278225.90428485896,3.5941887164735265e-06,409970.3941185553,2.4391945739287864e-06,247822.54336183536,4.035129134361329e-06,1.4656731485519574e-11
-29.84183474441845,14.41581112001413,0,No Data,ND,0.2,0,0,0,0,,,,,239876.07035541764,4.168801955594731e-06,270337.05492959317,3.699072260693893e-06,400634.1364180135,2.496036690492925e-06,239715.2027688579,4.171599534989432e-06,1.5420699674266922e-11
-29.84183474441845,14.51581112001413,0,No Data,ND,0.2,0,0,0,0,,,,,234811.82959477376,4.25871108374164e-06,262571.80838160164,3.8084674729406197e-06,391315.9797845755,2.5554730606131926e-06,231731.88882003925,4.315313225895125e-06,1.6219162639081733e-11
-29.84183474441845,14.61581112001413,0,No Data,ND,0.2,0,0,0,0,,,,,230049.38924432558,4.346873757896352e-06,254941.43297684,3.922454133364469e-06,382017.22468689445,2.6176761614438916e-06,223885.8408642217,4.466542098409703e-06,1.7050412938874084e-11
-29.84183474441845,14.715811120014129,0,No Data,ND,0.2,0,0,0,0,,,,,225607.84225002117,4.432450386371796e-06,247458.38138425237,4.041067242656726e-06,372739.30061035464,2.6828330565879794e-06,216191.97843660222,4.62549712405783e-06,1.7911830061068217e-11
-29.84183474441845,14.815811120014128,0,No Data,ND,0.2,0,0,0,0,,,,,221506.4756297154,4.514520321073305e-06,240136.40529202452,4.164282523099337e-06,363483.78176604304,2.7511468159446907e-06,208667.11306182924,4.7922990500407495e-06,1.879973807322237e-11
-29.84183474441845,14.915811120014128,0,No Data,ND,0.2,0,0,0,0,,,,,217764.497428135,4.59209568003311e-06,232990.6726171916,4.291998888917431e-06,354252.4050787581,2.8228380748455436e-06,201330.17487998938,4.96694066676999e-06,1.970926955650464e-11
-29.84183474441845,15.015811120014128,0,No Data,ND,0.2,0,0,0,0,,,,,214400.71582883628,4.66414177766344e-06,226037.88323145156,4.4240176101739726e-06,345047.0908344058,2.898146741173874e-06,194202.44811132495,5.149239159887425e-06,2.0634245360731196e-11
-29.84183474441845,15.115811120014127,0,No Data,ND,0.2,0,0,0,0,,,,,211433.17588638418,4.729604359407619e-06,219296.37739854006,4.560018053397192e-06,335869.96643795155,2.9773338571219996e-06,187307.80513229253,5.338777316387874e-06,2.1567081264324807e-11
-29.84183474441845,15.215811120014127,0,No Data,ND,0.2,0,0,0,0,,,,,208878.76389028583,4.7874431748460345e-06,212786.22886270614,4.6995301613952435e-06,326723.3938179562,3.060683618735791e-06,180672.9230894263,5.534833045635702e-06,2.249873359615474e-11
-29.84183474441845,15.315811120014127,0,No Data,ND,0.2,0,0,0,0,,,,,202879.68314991743,4.9290054847708505e-06,206529.31181296072,4.841904276528795e-06,317610.00111574476,3.1485055507746e-06,174327.459298561,5.736298043495957e-06,2.3865772735745867e-11
-29.84183474441845,15.415811120014126,0,No Data,ND,0.2,0,0,0,0,,,,,196414.22440686286,5.091255033920168e-06,200549.3278539467,4.9862795573600986e-06,308532.7194196854,3.2411368257605003e-06,168304.15217856213,5.941588757419959e-06,2.538642089694283e-11
