latitude,longitude,copper_present,dist_to_faults_m,inv_dist_faults,fault_density,dist_to_dykes_m,inv_dist_dykes,dyke_density,dist_to_deposits_m,inv_dist_deposits,deposit_density,structural_corridor,elevation_m,slope_deg,aspect_deg,Cu_ppm,Au_ppb,As_ppm,Ag_ppm,log_Cu_ppm,log_Au_ppb,log_As_ppm,log_Ag_ppm,Cu_ppm_anomaly,Au_ppb_anomaly
-29.862514144210188,11.444760708979217,0,465486.8665813806,2.1482837078958992e-06,0.01,524414.813040562,1.9068837650070117e-06,0.01,549785.141071746,1.8188890648473112e-06,0.001,4.096527325215755e-12,636.3834767915548,10.561520219123095,295.73293065964765,16.09659846688203,1.872113517626288,1.601670764623493,1.3658041775881025,2.8388795236560154,1.0550481760407546,0.9561538404255889,0.8611179969526519,-0.15088045622333804,-0.5140924808967682
-29.862514144210188,11.544760708979217,0,456746.01506386686,2.189395807786878e-06,0.01,515814.52715550695,1.93867758404745e-06,0.01,540917.8048784648,1.8487062956235787e-06,0.001,4.24453257516388e-12,452.89807963640885,9.805469419040785,243.44225489091022,5.175329621567856,3.7720285073600475,2.512351680781332,3.2453738092558515,1.8205622611003678,1.5627714780988085,1.2562858076562404,1.4458298746038845,-0.5776985286445524,-0.004626496636673458
-29.862514144210188,11.644760708979216,0,448047.8261416795,2.2318996092711237e-06,0.01,507257.47315605154,1.9713815597366332e-06,0.01,532082.650419977,1.8794037351282898e-06,0.001,4.39992573290049e-12,482.214654227286,21.29840514838491,36.306590935446096,47.80456833758299,1.1020096050681176,3.7282134413929455,1.1045595364955252,3.887823921952695,0.7428938419343848,1.5535474232034754,0.7441061989188634,1.0883102250324541,-0.7205973771231926
-29.862514144210188,11.744760708979216,0,439394.7682744115,2.2758525962304667e-06,0.01,498745.8172445836,2.0050253263262504e-06,0.01,523281.25056555955,1.911014560343309e-06,0.001,4.5631420944274356e-12,365.5311388058517,6.077648845622575,154.34099816521453,25.49603574797836,4.239398840236782,1.4264661949387607,1.3990279317566467,3.276995127385905,1.6562067666058655,0.8864359581521423,0.8750636268729982,0.2164623643760232,0.120699787928501
-29.862514144210188,11.844760708979216,0,430789.4964601362,2.3213139756265178e-06,0.01,490281.86549879774,2.0396388908729917e-06,0.01,514515.28095112287,1.9435730938415074e-06,0.001,4.734642262614846e-12,669.9090829687709,6.225015237452386,197.57841642150922,12.601388383217476,1.1534504326734716,0.7682462810994759,1.4156561886606427,2.6101718745327678,0.7670714081463513,0.5699882537786195,0.8819709639281605,-0.2874780303465104,-0.7068034168624823
-29.862514144210188,11.944760708979215,0,422234.8684214452,2.368344507866093e-06,0.01,481868.0739934522,2.0752524990088663e-06,0.01,505786.52777215827,1.9771147865284437e-06,0.001,4.914912858463033e-12,1420.020383818258,12.669422287928858,248.93370659584858,13.452890842753847,0.8061524864248578,2.209667326664667,0.8906789993666181,2.6708944528715093,0.591198884666864,1.1661672952182227,0.6369360234776522,-0.25420015360994686,-0.7999320520767631
-29.862514144210188,12.044760708979215,0,413733.9622806057,2.4170062749538057e-06,0.01,473507.0596636145,2.111896470591042e-06,0.01,497096.8962240568,2.0116761861113776e-06,0.001,5.1044670214713435e-12,962.9590323786504,8.86436541396167,148.40914199669055,9.912165776413087,2.1142749824727436,5.796481760225673,0.7319169353890279,2.389878293105675,1.135996374738802,1.9164050900884937,0.5492288502078677,-0.3925765152940975,-0.4491564023329823
-29.862514144210188,12.144760708979215,0,405290.09584743995,2.467362372985418e-06,0.01,465201.61195092613,2.149601000317447e-06,0.01,488448.4196431399,2.0472948882416483e-06,0.001,5.303844625115085e-12,819.6884998923643,0.6497651888958289,133.60866485138425,14.98887961486796,0.7056360012610416,0.668611823426324,2.601486015681336,2.7718934565278284,0.5339380624478167,0.5119920372969571,1.281346542424661,-0.19417161880689995,-0.8268857475447509
-29.862514144210188,12.244760708979214,0,396906.8476470786,2.519476513070049e-06,0.01,456954.70527269016,2.1883959177252114e-06,0.01,479843.2694050963,2.0840094667375833e-06,0.001,5.513612116007046e-12,1299.878621502466,0.36974656635627434,331.7607401532792,4.318562761244655,4.946443070777839,1.0141438893318608,1.6708053312745752,1.6712031091936193,1.7827932375713278,0.700194236298382,0.9823800491335425,-0.6111821453393674,0.3102951049687118
-29.862514144210188,12.344760708979214,0,388588.0798157194,2.573412511937366e-06,0.01,448769.5123503725,2.228310400259234e-06,0.01,471283.76564064686,2.121859378672335e-06,0.001,5.734361864507273e-12,501.86928419232316,1.5507949157474554,164.0484504490016,31.38566881702075,7.260858775651281,0.4039158903546312,0.9770712913203538,3.4777160044834097,2.1115285501251124,0.33926539665429306,0.6816166038925717,0.44663725242261443,0.9309102806169665
-29.862514144210188,12.444760708979214,0,380337.9629900043,2.6292336502644382e-06,0.01,440491.4054144358,2.270186699494066e-06,0.01,462772.3888311191,2.160884839393676e-06,0.001,5.9688512626925605e-12,613.7432623200756,7.66582476768504,90.27568665238728,62.008163002626695,1.0495808673921352,4.679457993730901,0.5168067134838344,4.1432642894681395,0.7176353173158924,1.736855804541009,0.41660727859257685,1.643406064376001,-0.7346562474347279
-29.862514144210188,12.544760708979213,0,372161.00330814056,2.6870018731386336e-06,0.01,431461.6453391847,2.3176977446422332e-06,0.01,454311.79234895104,2.2011266617205765e-06,0.001,6.227658181222867e-12,1289.2035513607443,4.723059927369736,108.34481631202988,5.410552942568475,7.4617731945266,4.135830114058481,0.9752408747113803,1.8579455297033656,2.135558749117426,1.636241488359763,0.6806903527955198,-0.5685056806449286,0.9847858817451535
-29.862514144210188,12.644760708979213,0,364062.0716267348,2.7467768030734966e-06,0.01,422463.60396546463,2.3670622121084193e-06,0.01,445904.8160097442,2.2426260526239634e-06,0.001,6.501791575651243e-12,1148.6007268598596,19.150816011382645,132.8051210364906,8.20546487212519,6.400519279306396,0.41182838774886527,1.2603136964816248,2.2197973155418658,2.0015501706273655,0.34488559326317436,0.8155036074047762,-0.4592767129071476,0.7002085330800395
